customer_id,age,tenure_months,monthly_charges,contract_type,internet_service,paperless_billing,tech_support,churn
C0069,22,67,49.64,Month-to-month,DSL,Yes,No,Yes
C0070,45,10,60.79,Month-to-month,DSL,Yes,No,Yes
C0071,64,69,33.68,Two year,Fiber optic,Yes,Yes,No
C0072,28,45,77.49,Month-to-month,Fiber optic,No,No,No
C0073,44,46,119.76,Month-to-month,No,No,No,Yes
C0074,25,7,90.09,One year,No,Yes,No,Yes
C0075,57,45,79.52,Month-to-month,No,Yes,No,No
C0076,45,53,59.24,Month-to-month,DSL,Yes,No,No
C0077,37,42,111.53,Month-to-month,Fiber optic,Yes,Yes,Yes
C0078,31,7,69.69,Month-to-month,Fiber optic,Yes,No,Yes
C0079,50,38,33.44,Two year,DSL,Yes,No,No
C0080,56,68,56.54,One year,DSL,No,Yes,Yes
C0081,72,53,26.72,Month-to-month,Fiber optic,Yes,Yes,No
C0082,43,10,40.2,Month-to-month,DSL,Yes,Yes,Yes
C0083,27,70,21.77,Month-to-month,Fiber optic,Yes,No,Yes
C0084,66,70,65.33,One year,DSL,Yes,No,No
C0085,54,13,83.45,Two year,Fiber optic,No,No,Yes
C0086,58,58,54.33,Two year,Fiber optic,Yes,Yes,Yes
C0087,23,30,62.04,Month-to-month,Fiber optic,No,Yes,No
C0088,36,43,115.92,Month-to-month,Fiber optic,No,No,No
C0089,62,33,95.2,Month-to-month,DSL,Yes,No,No
C0090,66,57,74.09,Month-to-month,Fiber optic,Yes,No,Yes
C0091,43,72,48.45,Month-to-month,Fiber optic,No,No,Yes
C0092,64,58,109.7,One year,DSL,Yes,No,No
C0093,66,68,43.51,Month-to-month,DSL,Yes,No,Yes
C0094,40,69,52.53,Month-to-month,Fiber optic,No,No,No
C0095,70,7,110.91,Month-to-month,Fiber optic,No,No,No
C0096,34,19,72.95,Month-to-month,Fiber optic,Yes,Yes,No
C0097,31,52,94.23,Month-to-month,DSL,Yes,Yes,Yes
C0098,57,43,79.07,Month-to-month,Fiber optic,Yes,No,Yes
C0099,54,4,85.34,One year,Fiber optic,No,Yes,Yes
C0100,26,7,49.94,Month-to-month,Fiber optic,Yes,Yes,Yes
C0101,66,38,44.14,Month-to-month,DSL,Yes,No,No
C0102,29,45,52.25,Month-to-month,Fiber optic,Yes,Yes,Yes
C0103,64,13,35.54,One year,DSL,No,No,No
C0104,18,13,107.43,Month-to-month,Fiber optic,No,No,No
C0105,64,10,48.32,One year,DSL,Yes,No,Yes
C0106,63,41,76.15,Two year,Fiber optic,Yes,No,Yes
C0107,63,1,99.2,One year,Fiber optic,No,Yes,Yes
C0108,56,42,98.38,One year,Fiber optic,No,No,No
C0109,45,35,63.84,Month-to-month,DSL,Yes,Yes,No
C0110,58,34,67.63,Two year,DSL,Yes,No,No
C0111,34,49,119.47,Month-to-month,Fiber optic,Yes,Yes,No
C0112,63,38,87.46,Two year,Fiber optic,Yes,Yes,No
C0113,50,53,101.46,Month-to-month,No,Yes,No,No
C0114,44,56,110.26,Month-to-month,DSL,Yes,No,No
C0115,47,67,98.76,Month-to-month,Fiber optic,Yes,No,No
C0116,50,58,38.52,One year,Fiber optic,No,No,No
C0117,20,38,76.22,Month-to-month,DSL,Yes,Yes,No
C0118,26,36,30.19,Month-to-month,DSL,Yes,No,No
C0119,32,17,85.29,One year,DSL,Yes,Yes,No
C0120,24,44,115.53,Two year,No,Yes,Yes,No
C0121,43,11,71.27,Month-to-month,Fiber optic,Yes,Yes,No
C0122,56,68,63.3,Month-to-month,Fiber optic,Yes,Yes,No
C0123,55,61,23.58,Month-to-month,Fiber optic,Yes,Yes,No
C0124,45,9,115.98,One year,Fiber optic,Yes,No,Yes
C0125,67,57,30.3,Month-to-month,Fiber optic,No,Yes,No
C0126,50,9,24.11,Two year,Fiber optic,Yes,Yes,No
C0127,22,52,44.61,Month-to-month,Fiber optic,No,No,No
C0128,62,7,26.55,Month-to-month,DSL,No,Yes,Yes
C0129,51,36,65.51,Month-to-month,Fiber optic,No,No,No
C0130,54,48,71.61,Month-to-month,Fiber optic,Yes,No,No
C0131,50,53,51.26,One year,DSL,Yes,No,No
C0132,50,31,25.1,Month-to-month,DSL,Yes,No,No
C0133,23,67,31.16,Month-to-month,DSL,Yes,Yes,No
C0134,50,56,58.45,Two year,DSL,Yes,Yes,No
C0135,64,15,26.05,Two year,DSL,No,No,Yes
C0136,35,49,89.82,Two year,Fiber optic,Yes,No,No
C0137,52,53,40.7,Month-to-month,Fiber optic,No,No,Yes
C0138,19,25,50.21,One year,DSL,Yes,Yes,No
C0139,38,54,59.41,Two year,Fiber optic,Yes,No,No
C0140,43,65,61.66,Month-to-month,Fiber optic,Yes,Yes,No
C0141,74,59,20.17,Month-to-month,Fiber optic,Yes,Yes,Yes
C0142,30,55,31.21,One year,Fiber optic,Yes,Yes,Yes
C0143,34,46,106.28,Month-to-month,Fiber optic,Yes,No,No
C0144,41,20,20.12,Month-to-month,Fiber optic,Yes,Yes,No
C0145,75,58,70.82,Two year,DSL,Yes,No,Yes
C0146,67,27,68.95,One year,No,Yes,No,No
C0147,20,39,53.31,Month-to-month,Fiber optic,No,No,Yes
C0148,31,23,63.13,Month-to-month,No,Yes,No,No
C0149,65,23,98.06,Month-to-month,Fiber optic,Yes,No,Yes
C0150,21,12,104.12,Month-to-month,No,Yes,Yes,Yes
C0151,67,70,46.03,One year,No,Yes,Yes,Yes
C0152,34,11,52.25,Two year,Fiber optic,Yes,No,No
C0153,71,7,44.25,Month-to-month,DSL,Yes,Yes,No
C0154,35,68,67.99,Month-to-month,No,No,Yes,No
C0155,43,40,88.33,Two year,No,Yes,Yes,No
C0156,56,32,42.83,Month-to-month,No,Yes,Yes,No
C0157,25,54,53.07,Month-to-month,DSL,Yes,Yes,Yes
C0158,50,28,113.04,Month-to-month,Fiber optic,Yes,Yes,Yes
C0159,47,10,24.86,One year,DSL,Yes,No,No
C0160,63,53,66.08,Month-to-month,DSL,Yes,Yes,Yes
C0161,75,13,91.16,One year,DSL,Yes,No,No
C0162,56,40,35.05,Month-to-month,Fiber optic,Yes,No,Yes
C0163,41,69,24.74,One year,DSL,No,Yes,Yes
C0164,41,68,33.82,Month-to-month,Fiber optic,Yes,No,Yes
C0165,42,26,111.88,Month-to-month,DSL,Yes,No,Yes
C0166,65,57,20.93,Month-to-month,Fiber optic,Yes,No,No
C0167,36,45,38.83,Month-to-month,DSL,Yes,Yes,No
C0168,27,35,23.13,Month-to-month,DSL,Yes,Yes,No
C0169,37,11,31.06,Month-to-month,Fiber optic,Yes,Yes,No
C0170,19,28,82.01,Month-to-month,Fiber optic,No,No,No
C0171,24,47,44.16,Month-to-month,Fiber optic,Yes,No,No
C0172,23,72,76.92,Two year,No,Yes,No,No
C0173,62,1,79.02,Month-to-month,DSL,No,No,No
C0174,59,52,104.94,One year,Fiber optic,No,No,No
C0175,58,61,20.47,Two year,Fiber optic,Yes,No,No
C0176,44,69,105.34,Month-to-month,Fiber optic,Yes,Yes,Yes
C0177,59,31,81.91,One year,Fiber optic,Yes,No,No
C0178,27,9,36.27,Two year,No,No,Yes,Yes
C0179,70,20,97.29,One year,DSL,Yes,Yes,No
C0180,47,62,105.55,Month-to-month,Fiber optic,No,No,No
C0181,72,64,45.43,Month-to-month,DSL,Yes,No,Yes
C0182,26,46,111.88,Month-to-month,Fiber optic,No,Yes,No
C0183,46,9,65.45,Month-to-month,DSL,Yes,No,No
C0184,58,9,80.34,Two year,Fiber optic,Yes,Yes,Yes
C0185,46,35,118.46,Two year,DSL,Yes,Yes,No
C0186,43,43,56.15,Month-to-month,No,Yes,Yes,No
C0187,27,3,101.32,One year,Fiber optic,Yes,No,No
C0188,40,50,51.84,Month-to-month,DSL,Yes,No,Yes
C0189,31,40,99.92,Two year,No,Yes,Yes,No
C0190,35,1,80.07,Month-to-month,Fiber optic,Yes,Yes,No
C0191,57,7,41.64,Two year,Fiber optic,No,Yes,Yes
C0192,54,33,61.4,Two year,DSL,No,Yes,No
C0193,53,53,51.76,Month-to-month,Fiber optic,Yes,No,Yes
C0194,38,60,27.81,Month-to-month,Fiber optic,Yes,No,Yes
C0195,73,32,22.98,Two year,Fiber optic,Yes,No,No
C0196,23,22,54.65,Month-to-month,DSL,No,No,No
C0197,37,70,21.9,Month-to-month,Fiber optic,Yes,No,No
C0198,24,34,36.55,Two year,Fiber optic,Yes,Yes,No
C0199,37,23,92.52,Month-to-month,DSL,No,Yes,No
C0200,73,32,90.81,Month-to-month,DSL,No,No,Yes
C0201,39,1,93.86,Month-to-month,DSL,Yes,No,Yes
C0202,70,22,51.72,Month-to-month,Fiber optic,Yes,No,Yes
C0203,46,38,109.0,Two year,No,Yes,No,No
C0204,58,67,79.38,Month-to-month,DSL,No,No,Yes
C0205,44,54,32.6,Month-to-month,Fiber optic,Yes,No,Yes
C0206,33,57,34.37,Month-to-month,DSL,Yes,No,Yes
C0207,62,40,89.31,Two year,Fiber optic,Yes,Yes,No
C0208,74,8,37.29,Month-to-month,Fiber optic,Yes,Yes,No
C0209,33,29,70.73,Two year,Fiber optic,Yes,Yes,No
C0210,63,72,119.18,One year,DSL,Yes,Yes,No
C0211,33,4,20.4,Two year,Fiber optic,No,Yes,No
C0212,59,64,21.66,Two year,Fiber optic,No,No,Yes
C0213,63,50,119.31,Two year,Fiber optic,Yes,No,No
C0214,44,21,78.46,Two year,Fiber optic,No,No,Yes
C0215,60,57,32.69,Month-to-month,Fiber optic,Yes,Yes,No
C0216,33,61,109.73,One year,DSL,Yes,No,No
C0217,22,4,108.04,Month-to-month,Fiber optic,Yes,Yes,Yes
C0218,23,8,73.62,Month-to-month,Fiber optic,No,Yes,Yes
C0219,43,48,82.18,Two year,DSL,No,Yes,No
C0220,70,72,47.32,Two year,Fiber optic,No,Yes,No
C0221,25,2,25.05,One year,DSL,No,Yes,No
C0222,44,48,79.46,Month-to-month,Fiber optic,No,No,No
C0223,58,10,49.48,Month-to-month,Fiber optic,Yes,No,Yes
C0224,29,47,86.36,Month-to-month,Fiber optic,No,No,Yes
C0225,59,45,103.62,Month-to-month,Fiber optic,Yes,Yes,No
C0226,35,7,21.82,Month-to-month,Fiber optic,Yes,No,Yes
C0227,64,50,79.57,Month-to-month,DSL,Yes,No,Yes
C0228,51,65,43.13,Month-to-month,Fiber optic,Yes,Yes,Yes
C0229,49,63,107.39,One year,DSL,Yes,No,No
C0230,28,3,45.37,Month-to-month,DSL,Yes,No,No
C0231,44,18,81.08,Two year,Fiber optic,Yes,No,No
C0232,67,18,75.35,One year,Fiber optic,Yes,Yes,No
C0233,19,33,59.62,Month-to-month,Fiber optic,No,No,Yes
C0234,61,11,87.76,Month-to-month,Fiber optic,Yes,Yes,Yes
C0235,46,62,92.58,Month-to-month,Fiber optic,Yes,Yes,Yes
C0236,59,56,76.69,Two year,DSL,Yes,Yes,No
C0237,56,59,95.84,Month-to-month,No,Yes,No,No
C0238,43,15,118.34,Month-to-month,Fiber optic,Yes,Yes,Yes
C0239,35,2,61.93,Two year,DSL,No,Yes,No
C0240,54,66,71.46,Two year,DSL,Yes,Yes,No
C0241,26,21,21.25,Month-to-month,Fiber optic,Yes,No,No
C0242,51,48,99.6,Month-to-month,DSL,No,No,No
C0243,23,66,72.02,Month-to-month,DSL,Yes,No,No
C0244,55,3,60.8,Month-to-month,No,No,Yes,No
C0245,54,1,29.41,Month-to-month,No,Yes,Yes,No
C0246,22,1,108.97,Month-to-month,Fiber optic,No,No,Yes
C0247,61,12,59.5,Two year,Fiber optic,No,Yes,No
C0248,42,4,88.26,Month-to-month,DSL,No,No,No
C0249,63,60,34.94,One year,Fiber optic,Yes,No,Yes
C0250,20,44,116.15,Month-to-month,Fiber optic,No,No,Yes
C0251,28,71,37.84,One year,No,No,No,No
C0252,46,58,39.95,One year,Fiber optic,Yes,No,Yes
C0253,28,70,105.9,Two year,Fiber optic,No,Yes,No
C0254,37,18,111.26,Two year,DSL,No,No,No
C0255,56,21,41.21,Month-to-month,Fiber optic,Yes,Yes,No
C0256,26,62,66.98,Month-to-month,Fiber optic,No,No,Yes
C0257,57,18,93.35,Month-to-month,No,Yes,Yes,No
C0258,23,5,107.84,Month-to-month,Fiber optic,Yes,Yes,Yes
C0259,28,49,57.91,Two year,Fiber optic,Yes,No,No
C0260,52,58,71.7,Month-to-month,Fiber optic,Yes,Yes,Yes
C0261,64,70,94.17,One year,No,No,Yes,No
C0262,27,67,93.11,Month-to-month,Fiber optic,Yes,No,Yes
C0263,35,9,98.3,Month-to-month,Fiber optic,Yes,Yes,No
C0264,71,56,76.99,Month-to-month,Fiber optic,Yes,No,Yes
C0265,75,61,30.46,One year,Fiber optic,Yes,Yes,No
C0266,51,51,110.4,One year,No,No,Yes,No
C0267,43,60,106.56,Month-to-month,Fiber optic,No,Yes,No
C0268,38,61,99.81,Month-to-month,No,Yes,No,Yes
C0269,53,33,29.99,One year,Fiber optic,Yes,No,No
C0270,52,3,40.44,Month-to-month,Fiber optic,Yes,Yes,Yes
C0271,35,33,94.36,Two year,DSL,Yes,No,No
C0272,19,15,22.31,Month-to-month,Fiber optic,Yes,No,Yes
C0273,26,9,117.92,Month-to-month,Fiber optic,Yes,No,Yes
C0274,73,9,57.71,Month-to-month,DSL,Yes,No,Yes
C0275,42,51,91.93,Month-to-month,Fiber optic,Yes,No,No
C0276,45,37,108.76,Month-to-month,DSL,Yes,No,Yes
C0277,45,39,59.46,Month-to-month,No,Yes,No,Yes
C0278,63,54,51.91,Two year,Fiber optic,No,No,No
C0279,21,40,80.87,Month-to-month,Fiber optic,No,Yes,Yes
C0280,22,46,78.1,Month-to-month,Fiber optic,Yes,Yes,No
C0281,33,7,60.91,Month-to-month,Fiber optic,No,No,No
C0282,46,62,80.18,Month-to-month,Fiber optic,No,Yes,No
C0283,56,33,113.54,One year,DSL,Yes,Yes,No
C0284,46,12,66.76,Month-to-month,Fiber optic,Yes,Yes,No
C0285,43,59,39.67,One year,DSL,Yes,Yes,No
C0286,72,53,57.72,Month-to-month,Fiber optic,No,No,Yes
C0287,27,4,59.41,Two year,Fiber optic,Yes,No,No
C0288,51,14,33.11,Month-to-month,Fiber optic,Yes,No,No
C0289,49,2,36.29,Two year,DSL,Yes,Yes,No
C0290,45,20,88.46,Month-to-month,Fiber optic,Yes,No,Yes
C0291,64,8,53.95,Month-to-month,Fiber optic,No,Yes,Yes
C0292,33,52,115.49,One year,DSL,Yes,No,No
C0293,73,38,44.36,One year,DSL,No,No,No
C0294,37,71,29.89,One year,Fiber optic,No,No,No
C0295,49,54,95.35,Month-to-month,No,No,No,No
C0296,48,45,108.1,One year,Fiber optic,Yes,No,No
C0297,67,37,47.81,Two year,Fiber optic,No,No,No
C0298,43,4,40.21,One year,Fiber optic,Yes,No,Yes
C0299,34,6,38.58,Month-to-month,Fiber optic,Yes,No,Yes
C0300,19,45,72.2,One year,Fiber optic,No,Yes,No
C0301,39,1,66.84,One year,DSL,Yes,No,Yes
C0302,65,4,45.94,Two year,Fiber optic,Yes,Yes,No
C0303,18,16,24.52,Month-to-month,DSL,Yes,Yes,No
C0304,69,64,68.15,Month-to-month,No,No,No,No
C0305,49,34,115.93,One year,DSL,Yes,No,No
C0306,26,52,85.25,Month-to-month,DSL,Yes,Yes,No
C0307,35,30,69.55,One year,DSL,No,Yes,No
C0308,50,13,31.07,Month-to-month,No,Yes,Yes,No
C0309,36,27,45.24,Month-to-month,Fiber optic,Yes,No,Yes
C0310,24,7,49.48,One year,Fiber optic,Yes,Yes,No
C0311,56,56,96.48,Month-to-month,Fiber optic,No,No,Yes
C0312,56,14,107.67,Month-to-month,DSL,Yes,No,Yes
C0313,24,28,110.16,One year,Fiber optic,Yes,No,No
C0314,34,71,118.46,One year,DSL,Yes,No,No
C0315,32,43,118.24,Two year,Fiber optic,No,Yes,No
C0316,56,34,115.3,Month-to-month,No,Yes,Yes,Yes
C0317,60,40,27.18,Month-to-month,Fiber optic,Yes,No,Yes
C0318,60,57,33.78,Two year,Fiber optic,No,Yes,No
C0319,72,19,50.45,Month-to-month,Fiber optic,Yes,Yes,No
C0320,62,46,75.29,Month-to-month,Fiber optic,Yes,Yes,No
C0321,36,63,29.7,Month-to-month,Fiber optic,Yes,Yes,Yes
C0322,24,42,104.58,Month-to-month,Fiber optic,No,No,No
C0323,53,33,81.68,Two year,Fiber optic,Yes,No,No
C0324,71,11,74.24,One year,Fiber optic,Yes,No,No
C0325,74,18,36.53,One year,Fiber optic,Yes,No,Yes
C0326,31,69,45.33,Month-to-month,Fiber optic,No,No,No
C0327,31,39,36.03,Month-to-month,Fiber optic,No,No,No
C0328,20,22,105.19,Month-to-month,Fiber optic,Yes,No,No
C0329,26,31,78.42,Month-to-month,Fiber optic,Yes,No,Yes
C0330,50,42,93.51,Month-to-month,Fiber optic,No,Yes,No
C0331,49,39,49.6,Month-to-month,Fiber optic,Yes,No,Yes
C0332,39,51,57.13,Month-to-month,DSL,Yes,Yes,No
C0333,35,19,60.49,Month-to-month,No,Yes,Yes,No
C0334,66,47,96.0,One year,No,Yes,Yes,Yes
C0335,44,32,97.24,Month-to-month,Fiber optic,Yes,Yes,Yes
C0336,64,68,40.68,Month-to-month,DSL,Yes,Yes,Yes
C0337,73,12,114.15,One year,Fiber optic,Yes,No,Yes
C0338,36,11,32.07,One year,DSL,Yes,No,No
C0339,29,34,109.61,One year,DSL,Yes,Yes,No
C0340,73,37,30.04,Month-to-month,DSL,Yes,No,Yes
C0341,54,50,46.45,One year,DSL,Yes,Yes,Yes
C0342,34,30,104.65,Month-to-month,Fiber optic,No,No,Yes
C0343,54,66,37.95,Month-to-month,DSL,Yes,Yes,Yes
C0344,47,35,61.36,Month-to-month,DSL,No,Yes,No
C0345,70,10,64.99,Month-to-month,Fiber optic,Yes,No,Yes
C0346,32,9,44.53,Month-to-month,No,No,No,No
C0347,75,71,91.02,Month-to-month,Fiber optic,Yes,No,Yes
C0348,72,10,105.13,One year,No,Yes,No,Yes
C0349,28,69,107.46,Month-to-month,DSL,Yes,No,No
C0350,27,21,53.93,Month-to-month,Fiber optic,Yes,No,Yes
C0351,48,7,73.09,Month-to-month,DSL,Yes,Yes,Yes
C0352,20,22,44.84,Month-to-month,Fiber optic,No,Yes,No
C0353,35,45,44.48,Month-to-month,DSL,No,Yes,No
C0354,43,31,36.13,Month-to-month,DSL,Yes,Yes,No
C0355,74,57,114.0,Month-to-month,DSL,No,No,Yes
C0356,75,44,108.8,One year,DSL,No,Yes,No
C0357,26,29,97.74,Two year,Fiber optic,No,No,No
C0358,69,46,71.77,Month-to-month,Fiber optic,Yes,No,No
C0359,23,70,69.06,One year,Fiber optic,Yes,No,Yes
C0360,61,30,72.97,Two year,Fiber optic,Yes,No,No
C0361,67,12,73.66,Two year,Fiber optic,Yes,Yes,No
C0362,69,30,63.46,One year,Fiber optic,No,Yes,Yes
C0363,30,61,33.18,Two year,Fiber optic,Yes,No,No
C0364,69,16,32.57,Two year,Fiber optic,Yes,No,Yes
C0365,24,69,115.22,One year,DSL,Yes,Yes,No
C0366,48,43,68.2,Month-to-month,Fiber optic,No,Yes,Yes
C0367,45,44,115.32,Month-to-month,DSL,Yes,No,Yes
C0368,36,23,36.36,Month-to-month,Fiber optic,Yes,No,Yes
C0369,19,67,75.44,Month-to-month,Fiber optic,No,Yes,No
C0370,62,3,40.77,Month-to-month,Fiber optic,No,No,Yes
C0371,37,22,45.32,Month-to-month,Fiber optic,Yes,No,No
C0372,56,31,23.01,Month-to-month,Fiber optic,No,Yes,Yes
C0373,41,35,31.9,Month-to-month,Fiber optic,No,No,No
C0374,39,35,111.68,Two year,Fiber optic,Yes,Yes,Yes
C0375,69,11,52.15,Month-to-month,Fiber optic,No,No,Yes
C0376,23,17,80.81,Month-to-month,DSL,Yes,No,Yes
C0377,60,7,66.5,One year,Fiber optic,Yes,Yes,Yes
C0378,61,42,60.05,Two year,DSL,Yes,No,Yes
C0379,40,26,73.19,Two year,Fiber optic,Yes,No,No
C0380,33,41,38.72,Two year,No,Yes,No,No
C0381,18,43,118.86,Two year,DSL,Yes,Yes,Yes
C0382,72,51,101.83,Month-to-month,No,Yes,No,Yes
C0383,72,40,94.16,Month-to-month,DSL,Yes,No,No
C0384,31,47,66.88,Month-to-month,Fiber optic,Yes,No,Yes
C0385,19,43,35.29,One year,DSL,Yes,Yes,No
C0386,25,47,112.07,Two year,Fiber optic,Yes,No,Yes
C0387,21,45,54.14,Month-to-month,DSL,Yes,No,Yes
C0388,66,23,25.01,Month-to-month,DSL,Yes,No,No
C0389,69,18,54.24,Month-to-month,Fiber optic,No,No,No
C0390,26,57,99.45,Month-to-month,No,Yes,Yes,No
C0391,61,25,82.27,Month-to-month,Fiber optic,No,Yes,No
C0392,28,40,95.08,Month-to-month,DSL,Yes,No,Yes
C0393,39,15,99.36,Two year,DSL,No,No,Yes
C0394,52,32,41.2,Month-to-month,Fiber optic,No,Yes,No
C0395,59,39,112.38,Two year,DSL,No,No,Yes
C0396,68,46,63.8,One year,DSL,Yes,No,Yes
C0397,20,38,83.9,Month-to-month,Fiber optic,Yes,Yes,Yes
C0398,29,26,20.23,Month-to-month,Fiber optic,Yes,Yes,No
C0399,34,70,119.34,One year,Fiber optic,Yes,No,Yes
C0400,35,37,48.09,Month-to-month,DSL,No,No,Yes
C0401,75,59,26.21,Two year,Fiber optic,No,Yes,No
C0402,63,54,65.83,Month-to-month,No,Yes,No,Yes
C0403,36,41,32.9,One year,DSL,Yes,No,No
C0404,74,64,35.23,One year,Fiber optic,Yes,No,Yes
C0405,46,10,83.23,Month-to-month,Fiber optic,Yes,No,Yes
C0406,47,67,59.29,Month-to-month,DSL,Yes,No,Yes
C0407,43,62,112.19,Two year,DSL,Yes,No,No
C0408,26,37,51.92,Month-to-month,Fiber optic,No,Yes,Yes
C0409,72,53,92.62,Month-to-month,Fiber optic,Yes,No,Yes
C0410,18,38,66.11,Month-to-month,Fiber optic,Yes,Yes,No
C0411,28,20,86.0,Month-to-month,No,Yes,No,Yes
C0412,31,58,79.97,One year,Fiber optic,No,Yes,No
C0413,34,18,67.28,One year,DSL,Yes,No,No
C0414,25,23,115.01,Month-to-month,Fiber optic,Yes,Yes,Yes
C0415,19,38,54.27,Two year,No,Yes,Yes,No
C0416,57,61,37.72,Month-to-month,Fiber optic,Yes,Yes,No
C0417,74,28,87.81,Month-to-month,Fiber optic,Yes,No,Yes
C0418,25,36,104.6,Month-to-month,No,Yes,No,Yes
C0419,35,3,24.03,Two year,No,Yes,Yes,Yes
C0420,47,9,64.96,Month-to-month,Fiber optic,No,No,No
C0421,71,5,109.25,Month-to-month,Fiber optic,Yes,No,Yes
C0422,58,6,94.96,Month-to-month,Fiber optic,Yes,Yes,Yes
C0423,62,63,119.18,One year,Fiber optic,Yes,No,Yes
C0424,51,61,73.14,Month-to-month,Fiber optic,No,No,No
C0425,42,60,86.0,Month-to-month,DSL,No,Yes,No
C0426,29,5,50.25,One year,Fiber optic,No,No,No
C0427,68,6,114.75,Month-to-month,DSL,Yes,Yes,No
C0428,64,21,56.63,Month-to-month,Fiber optic,Yes,No,No
C0429,19,41,93.85,Month-to-month,Fiber optic,No,No,Yes
C0430,59,25,60.31,Month-to-month,DSL,No,No,No
C0431,22,36,76.18,Month-to-month,Fiber optic,Yes,No,Yes
C0432,60,13,91.98,Two year,DSL,Yes,No,No
